Question Statement - mandatory (statement delivered to the candidate)	Choice 1 - mandatory	Choice 2 - mandatory	Choice 3	Choice 4	Choice 5			
What is the first and foremost step in Image Processing?	Image restoration	Image enhancement	Image acquisition	Segmentation				
Which of the following step deals with tools for extracting image components those are useful in the representation and description of shape?	Segmentation	Representation & description	Compression	Morphological processing				
"In which step of the processing, assigning a label (e.g., “vehicle”) to an object based on its descriptors is done?"	Object recognition	Morphological processing	Segmentation	Representation & description				
What role does the segmentation play in image processing?	Deals with extracting attributes that result in some quantitative information of interest	"Deals with techniques for reducing the storage required saving an image, or the bandwidth required transmitting it"	Deals with partitioning an image into its constituent parts or objects	Deals with property in which images are subdivided successively into smaller regions				
Digital images are displayed as a discrete set of	frequencies	intensities 	numbers	digits				
"Assume that an image f(x, y) is sampled so that the result has M rows and N columns. If the values of the coordinates at the origin are (x, y) = (0, 0), then the notation (0, 1) is used to signify :"	Second sample along first row	First sample along second row	First sample along first row	Second sample along second row				
Black and white pixels of binary image are represented in matrix as   	0 and -1	0 and 1	0 and 2	1 and 2				
The dynamic range of pixels of grayscale image is in the range:	0 and -1	0 and 256	0 and 255	1 and 255				
What do you mean by the term pixel depth?	It is the number of bits used to represent each pixel in RGB space	It is the number of bytes used to represent each pixel in RGB space	It is the number of units used to represent each pixel in RGB space	It is the number of mm used to represent each pixel in RGB space				
 How many bit RGB color image is represented by full-color image?	32-bit RGB color image	24-bit RGB color image	16-bit RGB color image	8-bit RGB color image				
What is the name of area of the triangle in C.I E chromatic diagram that shows a typical range of colors produced by RGB monitors?	Color gamut	Tricolor	Color game	Chromatic colors				
The subtractive color models use the concept of	Printing ink 	Light to display color	Printing line	None of the answers				
Color apparent in additive model are the result of	Reflected light	Transmission of light	Flow of light	None of the answers				
The intersection of primary CMYK color produces	White color	Magenta color	Cyan color	Black color				
CMYK true color model has _______ color depth	24bit	64bit	32bit	None of the answers				
The RGB model display a much _______ percentage of the visible band as compared to CMYK	Lesser	Larger	 Medium	None of the answers				
RGB model are used for	 Computer display	Printing	Painting	None of the answers				
"In 4-neighbours of a pixel p, how far are each of the neighbours located from p?"	one pixel apart	four pixels apart	alternating pixels	None of the answers				
"The distance between pixels p and q, the pixels have a distance less than or equal to some value of radius r, form a square centred at (x,y) is called :"	Euclidean distance	Chessboard distance	City-Block distance	None of the answers				
A geometry consisting of in-line arrangement of sensors for image acquisition	A photodiode	Sensor strips	Sensor arrays	CMOS				
The transition between continuous values of the image function and its digital equivalent is called ______________	Quantisation	Sampling	Rasterisation	None of the answers				
"The distance between pixels p and q, the pixels have a distance less than or equal to some value of radius r, form a diamond centred at (x,y) is called :"	Euclidean distance	Chessboard distance	City-Block distance	None of the answers				
Color apparent in subtractive model are the result of	Amount of Reflected light	Transmission of light	Flow of light	None of the answers				
"Using gray-level transformation, the basic function power-law deals with which of the following transformation?"	log and inverse-log transformations	negative and identity transformations	nth and nth root transformations	None of the answers				
The difference is intensity between the highest and the lowest intensity levels in an image is ___________	Noise	Saturation	Contrast	Brightness				
"Using gray-level transformation, the basic function linearity deals with which of the following transformation?"	log and inverse-log transformations	negative and identity transformations	nth and nth root transformations	None of the answers				
The intersection of primary RGB color produces	White color	Magenta color	Cyan color	Black color				
Changing overall sensitivity of image is called	brightness	brightness adaption 	illumination	illumination adaption				
"The power-law transformation is given as: s = cr^?, c and ? (gamma) are positive constants, and r is the gray-level of image before processing and s after processing. Then, for what value of c and ? (gamma) does power-law transformation becomes identity transformation?"	c = 1 and ? (gamma) < 1	c = 1 and ? (gamma)> 1	c = -1 and ? (gamma) = 0	c = ? (gamma) = 1				
"In MxN 2D image, M is no of"	colors	columns	rows	intensity levels				
"In MxN 2D image, N is no of"	colors	columns	rows	intensity levels				
Each element of 2D matrix representation of digital image is called	coordinates	pels or picture elements	dots	value				
"When is the contrast stretching transformation a thresholding function, for r and s as gray-value of image before and after processing respectively?"	r1 = s1 and r2 = s2	"r1 = r2, s1 = 0 and s2 = L – 1, L is the max gray value allowed"	r1 = 1 and r2 = 0	None of the answers				
Cornea is tough transparent tissues that covers eye's	retina	lashes	anterior	exterior				
Imaging system produces	digitized image 	analog signal	high resolution image	voltage signal				
Digitizing coordinate values is called	illuminance	quantization	radiance	sampling				
Smallest element of an image is called	coordinate	digits	dot	pixel 				
DPI stands for	diameter per inches	dots per image	dots per inches	dots per intensity				
Digitizing amplitude values is called	illuminance	quantization	radiance	sampling				
Luminance is measured in	chromens	degree	lumens	steradian				
Image sensor produces	Easy	audio	current waveform	discrete signals	voltage waveform 			
Digitizing image requires	Easy	sampling	quantization	reflection	Both sampling and quantization			
Digital image processing is build on mathematical and	Easy	additional formulations	probabilistic addition	probabilistic formulations	probabilistic subtraction			
Innermost membrane of eye is	Easy	cornea	eyelid	retina	sclera			
Brightness of light is a subject	Easy	defined	descriptor	matter	oriented			
Black level in binary image is represented by formula	Easy	[ƒ(x) = 0]	"[ƒ(x,y) = 0]"	"[ƒ(x,y) = 1]"	[ƒ(y) = 0]			
"In digital image g(x,y) x, y are the"	Easy	frequency variables	intensity variables	spatial variables	None of the answers			
Intensity can be converted to color transformation by assigning colors to	Easy	coordinates	intensity levels	pixel depth	pixels			
Intensity transformation is modeled using	Easy	"g(x,y) = [ƒ(x,y)]"	"g(x,y) = T[ƒ(x)]"	"g(x,y) = T[ƒ(x,y)]"	"g(x,y) = T[ƒ(y)]"			
Correction of power law response is called	Easy	alpha correction	beta correction 	gamma correction	pixel correction			
Color Model used in TV Broadcasting and DVD players	Easy	CMYK	HIS	YIQ	RGB			
Gamma correction is mostly used in	Easy	audio devices	CRT devices	radio	turbines			
In bit plane slicing 8 bit image will have	Easy	3 planes	7 planes	8 planes	4 planes			
Inverse of nth root function in image processing is	Easy	identity	inverse log	log	nth power			
Color Model used in newspaper and magazine ink printing	Easy	CMYK	HIS	YIQ	RGB			
Adding black pigment to a color in HIS color model produces_____of that color.	Easy	gray values	shades	tints	tones			
Adding white pigment to a color in HIS color model produces_____of that color.	Easy	gray values	shades	tints	tones			
Adding both white and black pigment to a color in HIS color model produces_____of that color.	Easy	gray values	shades	tints	tones			
Digital video is sequence of	Easy	coordinates	frames	matrix	pixels			
MRI in imaging stands for	Easy	magnetic resistance imaging	magnetic resonance imaging	magnetic resonance intensity	major resonance imaging			
The input and output of image processing are?	Easy	signal and image	signal only	image only	depends on input			
Which of the following studies various techniques to classify patterns?	Easy	 Image Processing	Photogrammetry	image recognition	Pattern Recognition			
Which of the following is an Applications of Computer Vision?	Easy	robotics	medicines	security	All of the above			
Which of the following is not an Image filters used in OpenCV?	Easy	Box Filter	Bilateral Filter	Blue Blur	Build Pyramid			
Low-level vision includes process image for feature extraction.	Easy	Yes	No	Can be yes or no	can not say			
Mach Band Effect is an optical illusion	Easy	TRUE	FALSE	Can be yes or no	can not say			
Computer vision is concerned with modeling and replicating human vision using computer software and hardware.	Easy	TRUE	FALSE	Can be yes or no	can not say			
"Computer vision is a discipline that studies how to reconstruct, interrupt and understand a 3d scene from its ________."	Easy	1D IMAGES2D IMAGES	2D IMAGES	3D IMAGES	4D IMAGES			
 Computer vision is divided into _________ basic categories	Easy	1	2	 3	4			
Which vision includes object recognition and 3D scene Interpretation?	Easy	Low-level vision	 Intermediate-level vision	High-level vision	All of the above			
Median filter technique is the best way to denoise this image	Easy	TRUE	FALSE	Can be yes or no	can not say			
"To blur an image, you can use a linear filter"	Easy	TRUE	FALSE	Can be yes or no	can not say			
Which of the following is a challenge when dealing with computer vision problems?	Easy	"Variations due to geometric changes (like pose, scale etc)"	"Variations due to photometric factors (like illumination, appearance etc)"	Image occlusion	 All of the above			
"Finite difference filters in image processing are very susceptible to noise. To cope up with this, which of the following methods can you use so that there would be minimal distortions by noise?"	Easy	Downsample the image	Convert the image to grayscale from RGB	Smooth the image	None of the above			
"Consider and image with width and height as 100×100. Each pixel in the image can have a color from Grayscale, i.e. values. How much space would this image require for storing?"	Easy	25600000	" 25,60,000"	256000	800000			
Quantizing an image will reduce the amount of memory required for storage.	Easy	TRUE	FALSE	Can be yes or no	can not say			
"Suppose we have a grayscale image, with most of the values of pixels being same. What can we use to compress the size of image?"	Easy	Encode the pixels with same values in a dictionary	Encode the sequence of values of pixels	No compression can be done	can not say			
JPEG is a lossy image compression technique	Easy	TRUE	FALSE	Can be yes or no	can not say			
"Given an image with only 2 pixels and 3 possible values for each pixel, what is the number of possible image histograms that can be formed?"	Easy	3	6	9	12			
"Suppose we have a 1D image with values as [2, 5, 8, 5, 2], Now we apply average filter on this image of size 3. What would be the value of the last second pixel?"	Easy	The value would remain the same	The value would increase by 2	The value would decrease by 2	None of the above			
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
